Stock,Feature Group,MAE,MSE,RMSE,Adjusted_R2,CRPS,QL_0.1,QL_0.5,QL_0.9,Num Features
Geberit_0QQ2.LON,Baseline (Target Only),0.00883473263597825,8.547320449013508e-05,0.009245171955682332,-3.5990164388207724,0.0050744226911517715,0.0022789336943462063,0.004417366317989125,0.0015723903975549721,0
Geberit_0QQ2.LON,Technicals,0.006759034223023442,4.955812783055015e-05,0.007039753392736861,-4.333101664538309,0.0038799717874678703,0.0016094989066406655,0.003379517111511721,0.001331396339005568,2
Geberit_0QQ2.LON,Macro,0.008096658005479363,7.274590010919991e-05,0.008529120711374644,,0.0047273834609839055,0.0022711400331392453,0.0040483290027396816,0.0014506606138411549,4
Geberit_0QQ2.LON,Peers,0.00830921208030322,7.783715159766161e-05,0.008822536573891978,,0.004969673760369692,0.0026280146387800143,0.00415460604015161,0.0014869576818409944,4
Givaudan_0QPS.LON,Baseline (Target Only),0.002016042165859987,6.179198817344729e-06,0.0024857994322440274,-0.5830843794325546,0.001296755087536355,0.0003106906454372077,0.0010080210829299936,0.0009151549075436919,0
Givaudan_0QPS.LON,Technicals,0.002362076190007062,7.831295159819952e-06,0.0027984451325369867,-3.0126888306093136,0.001477155311660898,0.0003231637369203239,0.001181038095003531,0.0010076483522248594,2
Givaudan_0QPS.LON,Macro,0.0019211596979283145,5.227790446156872e-06,0.002286436188953646,,0.001283420524838879,0.0003672214973079829,0.0009605798489641573,0.0009201701168608993,4
Givaudan_0QPS.LON,Peers,0.0016623021273397258,3.5921095736954773e-06,0.0018952861455979351,,0.0011729227595958253,0.00043627405570026927,0.0008311510636698629,0.000833730715949568,4
Holcim_0QKY.LON,Baseline (Target Only),0.0040672905971586995,1.921084550295665e-05,0.004383017853369599,-1.1738743915517125,0.0023175041170907136,0.0010797080420452388,0.0020336452985793498,0.0006467616535228459,0
Holcim_0QKY.LON,Technicals,0.004872405179339677,2.7047507497462237e-05,0.0052007218246568655,-5.121321822611795,0.002616909408767235,0.0011405400209623605,0.0024362025896698383,0.0005293283216160505,2
Holcim_0QKY.LON,Macro,0.0037459985001122055,1.6434446169973125e-05,0.004053942053109927,,0.0021134792052998185,0.0008965981774526864,0.0018729992500561028,0.000641101335684654,4
Holcim_0QKY.LON,Peers,0.005450973682600288,3.322039295798925e-05,0.005763713469456064,,0.002806043976743233,0.0011216901638108523,0.002725486841300144,0.0004424460954469413,4
Kuehne_Nagel_0QMW.LON,Baseline (Target Only),0.0016938508303773706,4.522404644264852e-06,0.0021265946121122505,-0.13482585251557677,0.0011481605240945512,0.0005254870788821203,0.0008469254151886853,0.000651063400976887,0
Kuehne_Nagel_0QMW.LON,Technicals,0.0018417988818796118,5.016532938914604e-06,0.0022397618040574324,-1.5176390512935427,0.0011754547882342993,0.0004631011416831237,0.0009208994409398059,0.000633736947023012,2
Kuehne_Nagel_0QMW.LON,Macro,0.0016319117324364487,4.282554651232844e-06,0.0020694334130947154,,0.0011238306351726173,0.000530495666495822,0.0008159558662182244,0.000647169188999273,4
Kuehne_Nagel_0QMW.LON,Peers,0.001686694920243055,4.5009857268484575e-06,0.0021215526688839136,,0.0011289724739138775,0.0005125685078718883,0.0008433474601215275,0.0006231677566697505,4
Logitech_0QK6.LON,Baseline (Target Only),0.003160829223978081,1.9049931499093893e-05,0.004364622721277738,0.1011826329641955,0.002000485730206362,0.0010042135159632182,0.0015804146119890404,0.0008361715855746063,0
Logitech_0QK6.LON,Technicals,0.002452653367059978,1.3617409746448112e-05,0.0036901774681508356,-0.2849982557399082,0.001654216627965339,0.000991877980824373,0.001226326683529989,0.0006910102220289967,2
