stock,features,n_features,mae,mse,rmse,r2,time
Alcon_0A0D.LON,parkinson_vol,1,0.00428937912469599,4.3406103648743984e-05,0.006588330869707743,0.621049139201645,0.12550973892211914
Alcon_0A0D.LON,return,1,0.006029607924296744,0.0001041609176688134,0.010205925615485025,0.0906378114109857,0.20774364471435547
Alcon_0A0D.LON,log_return,1,0.006019367126268221,0.00010356917711093543,0.010176894276297432,0.09580391882278616,0.12442660331726074
Alcon_0A0D.LON,abs_log_return,1,0.003206937326573445,2.3385291550291515e-05,0.004835834111122043,0.7958380131348209,0.09561777114868164
Alcon_0A0D.LON,range_t,1,0.004738377530287478,5.097041090091909e-05,0.007139356476666444,0.5550100224969614,0.08736634254455566
Alcon_0A0D.LON,body,1,0.006340506141007972,0.00011776486193201227,0.010851951987177803,-0.028129503676997958,0.08494114875793457
Alcon_0A0D.LON,upper_wick,1,0.006455362512061308,0.0001232280810326805,0.011100814431053268,-0.07582536685978214,0.10801291465759277
Alcon_0A0D.LON,lower_wick,1,0.006266438402901357,0.00011357275364237523,0.010657051826953609,0.008469105997193305,0.10896492004394531
Alcon_0A0D.LON,open_lag_1,1,0.00620505778331596,0.00011393888861171865,0.010674216065440995,0.005272616330121327,0.06972384452819824
Alcon_0A0D.LON,open_lag_2,1,0.006197762253601723,0.00011367473105917455,0.010661835257551796,0.007578806554727424,0.07400369644165039
Alcon_0A0D.LON,open_lag_3,1,0.006190565835292407,0.00011394199077887142,0.010674361375692292,0.0052455332976889535,0.08615565299987793
Alcon_0A0D.LON,high_lag_1,1,0.006216844939133708,0.00011637503153525453,0.010787725966822412,-0.015995785583406752,0.07045173645019531
Alcon_0A0D.LON,high_lag_2,1,0.00615887860636404,0.00011291922779741377,0.010626345928747744,0.01417462113640544,0.0712277889251709
Alcon_0A0D.LON,high_lag_3,1,0.00610518797574691,0.00010984791867582997,0.010480835781359709,0.04098825188337296,0.06611466407775879
Alcon_0A0D.LON,low_lag_1,1,0.006118666655262492,0.00010818131815805218,0.010401024860947702,0.055538272450288195,0.06742668151855469
Alcon_0A0D.LON,low_lag_2,1,0.006100795291215524,0.00010458470053924776,0.01022666614978937,0.08693803488088592,0.1530618667602539
Alcon_0A0D.LON,low_lag_3,1,0.00607402174427472,0.0001041045349818065,0.010203162989083655,0.09113005250104744,0.08077716827392578
Alcon_0A0D.LON,close_lag_1,1,0.006133531533511744,0.000112441543574253,0.01060384569739927,0.01834497581789063,0.07278895378112793
Alcon_0A0D.LON,close_lag_2,1,0.0061176615779165375,0.00011051610224086173,0.010512663898406613,0.03515476958813757,0.08745336532592773
Alcon_0A0D.LON,close_lag_3,1,0.006062237088298546,0.0001086469189861456,0.01042338327924986,0.051473410143774045,0.17062950134277344
Alcon_0A0D.LON,volume_lag_1,1,0.006515792941916988,0.0001195714196287933,0.01093487172438677,-0.04390140063916359,0.13396072387695312
Alcon_0A0D.LON,volume_lag_2,1,0.006519882990613499,0.00011955383084479054,0.010934067442849917,-0.0437478442432202,0.0937192440032959
Alcon_0A0D.LON,volume_lag_3,1,0.00656884075430092,0.000119906479727773,0.01095018172122148,-0.04682659553698332,0.11393904685974121
Alcon_0A0D.LON,ctc_vol_lag_1,1,0.0018212240827227538,7.4307393756676365e-06,0.002725938256026287,0.9351269787870268,0.10031604766845703
Alcon_0A0D.LON,ctc_vol_lag_2,1,0.002169422637514752,1.051174285004816e-05,0.0032421818039783273,0.9082287128614003,0.12552523612976074
Alcon_0A0D.LON,ctc_vol_lag_3,1,0.0025390728106993166,1.8644955285435814e-05,0.004317980463762639,0.8372228497600431,0.11705303192138672
Alcon_0A0D.LON,parkinson_vol_lag_1,1,0.004288666004819046,4.403641300697592e-05,0.006635993746755336,0.6155463123226385,0.1085963249206543
Alcon_0A0D.LON,parkinson_vol_lag_2,1,0.004628237509380411,5.1470574050219015e-05,0.007174299551190974,0.5506434187238924,0.1184244155883789
