stock,features,n_features,mae,mse,rmse,r2,adj_r2,time
ABB_ABBNY,log_return_lag_2,1,0.004571883334827892,4.1156006628861214e-05,0.006415294742165882,0.1436526966045618,0.14086329170750822,0.031194448471069336
ABB_ABBNY,log_return_lag_3,1,0.00462652586448979,4.212198605349866e-05,0.0064901453029572965,0.12355322770119026,0.12069835222138958,0.04693484306335449
ABB_ABBNY,abs_log_return_lag_1,1,0.0027040730686958728,1.668961247465122e-05,0.004085292214107973,0.6527334450529536,0.651602283636188,0.08228206634521484
ABB_ABBNY,abs_log_return_lag_2,1,0.0027504693448249565,1.6446230261432125e-05,0.004055395204099364,0.6577975831716998,0.6566829173188389,0.06175565719604492
ABB_ABBNY,abs_log_return_lag_3,1,0.0027914654710833294,1.773665541043939e-05,0.004211490877401896,0.6309472595591292,0.629745133368768,0.038732051849365234
ABB_ABBNY,range_t_lag_1,1,0.004830467509303505,4.646959680418393e-05,0.006816861213504638,0.03309098300052238,0.029941442228537007,0.03721356391906738
ABB_ABBNY,range_t_lag_2,1,0.004642046613010541,4.166366244888137e-05,0.006454739533775269,0.13308972589538715,0.13026591392761966,0.029124021530151367
ABB_ABBNY,range_t_lag_3,1,0.004842009689378819,4.6114811005010516e-05,0.0067907886879957115,0.040473134168514724,0.037347639491539186,0.042495012283325195
ABB_ABBNY,body_lag_1,1,0.005536934433504915,5.1414398119689504e-05,0.0071703834011640905,-0.06979721289625673,-0.0732818943714888,0.04816627502441406
ABB_ABBNY,body_lag_2,1,0.005742453090930677,5.460628427279962e-05,0.0073896065032449205,-0.13621189507400433,-0.1399129110188706,0.04613947868347168
ABB_ABBNY,body_lag_3,1,0.005556105791229099,5.1729390717940605e-05,0.007192314698199781,-0.07635137313182949,-0.0798574036632036,0.07036972045898438
ABB_ABBNY,upper_wick_lag_1,1,0.006079234899890114,7.003591189290834e-05,0.008368746136244566,-0.45726150817252065,-0.4620082883294343,0.07257652282714844
ABB_ABBNY,upper_wick_lag_2,1,0.005679359785633797,6.171057247824812e-05,0.007855607709034873,-0.2840332836295578,-0.288215802468742,0.048285722732543945
ABB_ABBNY,upper_wick_lag_3,1,0.006268350965201275,7.496613291769057e-05,0.00865829850014947,-0.559846326903574,-0.5649272595644979,0.06798219680786133
ABB_ABBNY,lower_wick_lag_1,1,0.006179699316568384,6.67347017247101e-05,0.008169131026290992,-0.38857208329776394,-0.393095119399711,0.055681467056274414
ABB_ABBNY,lower_wick_lag_2,1,0.005741446023436379,5.811029675866362e-05,0.007623011003446317,-0.2091210981070637,-0.2130596033126242,0.04099607467651367
ABB_ABBNY,lower_wick_lag_3,1,0.0061016626724418755,6.414627157081823e-05,0.008009136755657143,-0.33471371938258443,-0.33906132107438447,0.044905662536621094
ABB_ABBNY,vol_5_mean,1,0.004796492821126055,4.8920157394018784e-05,0.006994294631627895,-0.017898681080262824,-0.0212143119632604,0.04404592514038086
ABB_ABBNY,vol_20_mean,1,0.004930669154207812,5.337690904865235e-05,0.007305950249533072,-0.11063185842094847,-0.11424955177085372,0.036142587661743164
ABB_ABBNY,Peer_UBS_ctc_vol_lag_1,1,0.004765222345258748,4.615778043096107e-05,0.006793951753652735,0.03957905442037413,0.03645064743151538,0.05162644386291504
ABB_ABBNY,Peer_UBS_ctc_vol_lag_2,1,0.004631036422512546,4.555394039861822e-05,0.006749365925671701,0.0521433633933539,0.04905588249235515,0.04325270652770996
ABB_ABBNY,Peer_UBS_ctc_vol_lag_3,1,0.004656446511565804,4.6542669157061246e-05,0.006822218785487698,0.03157054121170788,0.02841604786060592,0.03917980194091797
ABB_ABBNY,Peer_UBS_abs_log_return_lag_1,1,0.004555439258336953,4.1903852952498564e-05,0.006473318542486424,0.12809199878525646,0.12525190757608795,0.02966904640197754
ABB_ABBNY,Peer_UBS_abs_log_return_lag_2,1,0.00462888174698937,4.308236565286413e-05,0.006563715841873727,0.1035702763043489,0.10065030977765299,0.05450296401977539
ABB_ABBNY,Peer_UBS_abs_log_return_lag_3,1,0.004657088391905883,4.384270691253528e-05,0.006621382552951859,0.08774959201757271,0.08477809231730427,0.06301474571228027
ABB_ABBNY,Peer_Swiss_ctc_vol_lag_1,1,0.0050342165460540295,5.105842054536453e-05,0.0071455175141738,-0.062390264049361877,-0.06585081865538589,0.05282330513000488
ABB_ABBNY,Peer_Swiss_ctc_vol_lag_2,1,0.0052251974243068475,5.529105908238308e-05,0.007435795793483242,-0.15046024202632236,-0.15420766952477938,0.057492971420288086
ABB_ABBNY,Peer_Swiss_ctc_vol_lag_3,1,0.005259503846822953,5.545761207153891e-05,0.0074469867779887264,-0.15392576783455336,-0.15768448369069188,0.04936623573303223
ABB_ABBNY,Peer_Swiss_abs_log_return_lag_1,1,0.004833107375543401,4.7460328325752385e-05,0.006889145689107786,0.012476488631939842,0.009259799669828928,0.07060503959655762
ABB_ABBNY,Peer_Swiss_abs_log_return_lag_2,1,0.004988342080814327,4.8288115377873457e-05,0.006948965058040906,-0.004747563649469377,-0.008020357016405688,0.049761056900024414
ABB_ABBNY,Peer_Swiss_abs_log_return_lag_3,1,0.004953945134885967,4.9501198268286635e-05,0.007035708796438824,-0.029988600064114745,-0.033343611790707994,0.06683158874511719
ABB_ABBNY,TOP_1_COMBINED,1,0.0012102980859321735,3.1148502756367386e-06,0.0017648938425969814,0.9351882300419421,0.9349771167847497,0.06541776657104492
ABB_ABBNY,TOP_2_COMBINED,2,0.001150602086836156,2.8104393397567993e-06,0.001676436500365224,0.9415222139586922,0.9411400062067882,0.056336402893066406
ABB_ABBNY,TOP_3_COMBINED,3,0.0011098570666775395,2.6941526020679153e-06,0.0016413874015807222,0.9439418324396236,0.9433904406275543,0.044953107833862305
ABB_ABBNY,TOP_4_COMBINED,4,0.00105338314034444,2.5119647879689194e-06,0.0015849179120600914,0.9477326774728192,0.94704494954483,0.042223215103149414
ABB_ABBNY,TOP_5_COMBINED,5,0.001074809241467276,2.614189515556283e-06,0.0016168455447433075,0.9456056521129685,0.9447080556131825,0.050682783126831055
ABB_ABBNY,TOP_6_COMBINED,6,0.0010908891534093686,2.6024665457327027e-06,0.0016132162117127086,0.9458495760117748,0.9447737397735981,0.056481122970581055
ABB_ABBNY,TOP_7_COMBINED,7,0.0010588982640861245,2.4730808994390565e-06,0.0015726032237786671,0.948541748026927,0.9473450444926695,0.06183457374572754
ABB_ABBNY,TOP_8_COMBINED,8,0.001081996254139847,2.394819307710651e-06,0.0015475203739242502,0.9501701641082155,0.9488413684844346,0.056586503982543945
ABB_ABBNY,TOP_9_COMBINED,9,0.0010893452813030857,2.401654426586147e-06,0.0015497272103780547,0.95002794341926,0.9485237678031173,0.07185101509094238
ABB_ABBNY,TOP_10_COMBINED,10,0.0010796823474242935,2.344877388770001e-06,0.0015312992486023107,0.9512093229361576,0.9495720518937467,0.07835054397583008
ABB_ABBNY,TOP_11_COMBINED,11,0.0010786622380469428,2.3585157808171056e-06,0.001535746001400331,0.9509255441828517,0.9491079717451796,0.0858922004699707
ABB_ABBNY,TOP_12_COMBINED,12,0.0010887776374178682,2.3754504764698884e-06,0.0015412496476787556,0.950573178097219,0.9485693880200792,0.09216880798339844
ABB_ABBNY,TOP_13_COMBINED,13,0.0010823879107012076,2.3531216448138175e-06,0.0015339888020496817,0.9510377818414326,0.9488801247700381,0.08711624145507812
ABB_ABBNY,TOP_14_COMBINED,14,0.001104018282620333,2.447862270729231e-06,0.0015645645626592823,0.9490664807806595,0.946641075103548,0.10044121742248535
ABB_ABBNY,TOP_15_COMBINED,15,0.0011111433092200437,2.4928509233364722e-06,0.0015788764750088817,0.9481303862831776,0.9454749453079137,0.10494041442871094
ABB_ABBNY,TOP_16_COMBINED,16,0.0011204855481869685,2.5272196673832163e-06,0.0015897231417398492,0.9474152639062441,0.9445339085038464,0.12224292755126953
ABB_ABBNY,TOP_17_COMBINED,17,0.0011282049227562133,2.557099007032108e-06,0.001599093182723292,0.946793554123604,0.9436852737803094,0.11573004722595215
ABB_ABBNY,TOP_18_COMBINED,18,0.0011420840575949486,2.5956767874560923e-06,0.001611110420627988,0.9459908528670178,0.9426385609760051,0.12131309509277344
ABB_ABBNY,TOP_19_COMBINED,19,0.0011337285293458784,2.615886676519933e-06,0.0016173702966605801,0.9455703386961991,0.9419919180568489,0.13222312927246094
ABB_ABBNY,TOP_20_COMBINED,20,0.0011432123960040481,2.6493672404555396e-06,0.0016276876974578199,0.9448736969908712,0.9410454815041261,0.13385820388793945
